date,open,high,low,close
2022-02-10 20:00:00 +0800,44.7,44.7,44.7,44.7
2022-02-10 16:00:00 +0800,44.3,44.74,44.3,44.74
2022-02-10 12:00:00 +0800,45.05,45.05,44.33,44.33
2022-02-10 08:00:00 +0800,45.9,46.06,45.85,46.04
2022-02-10 04:00:00 +0800,45.33,45.95,45.33,45.95
2022-02-10 00:00:00 +0800,44.06,45.73,44.06,45.67
2022-02-09 20:00:00 +0800,44.26,44.26,43.83,43.87
2022-02-09 16:00:00 +0800,43.6,44.43,43.6,44.43
2022-02-09 12:00:00 +0800,45.32,46.0,44.33,44.33
2022-02-09 08:00:00 +0800,42.18,44.0,42.18,44.0
2022-02-09 04:00:00 +0800,43.16,43.16,42.08,42.1
2022-02-09 00:00:00 +0800,44.09,44.09,43.46,43.46
2022-02-08 20:00:00 +0800,46.73,46.73,44.22,44.38
2022-02-08 16:00:00 +0800,45.27,46.24,45.12,45.96
2022-02-08 12:00:00 +0800,42.71,44.57,42.59,44.2
2022-02-08 08:00:00 +0800,40.92,43.05,40.9,43.05
2022-02-08 04:00:00 +0800,40.06,40.78,40.06,40.5
2022-02-08 00:00:00 +0800,39.96,40.03,39.83,40.03
2022-02-07 20:00:00 +0800,38.51,39.57,38.51,39.37
2022-02-07 16:00:00 +0800,37.27,38.36,37.25,38.36
2022-02-07 12:00:00 +0800,35.12,36.91,34.87,36.91
2022-02-07 08:00:00 +0800,34.44,34.64,34.42,34.49
2022-02-07 04:00:00 +0800,34.25,34.43,34.25,34.26
2022-02-07 00:00:00 +0800,34.26,34.44,34.09,34.09
2022-02-06 20:00:00 +0800,34.42,34.42,34.28,34.28
2022-02-06 16:00:00 +0800,34.47,34.47,34.15,34.15
2022-02-06 12:00:00 +0800,34.24,34.57,34.24,34.44
2022-02-06 08:00:00 +0800,34.1,34.34,34.1,34.26
2022-02-06 04:00:00 +0800,34.58,34.58,34.13,34.15
2022-02-06 00:00:00 +0800,34.45,34.56,34.45,34.56
2022-02-05 20:00:00 +0800,34.41,34.56,34.41,34.56
2022-02-05 16:00:00 +0800,34.34,34.54,34.34,34.54
2022-02-05 12:00:00 +0800,33.88,34.55,33.88,34.2
2022-02-05 08:00:00 +0800,32.86,32.87,32.7,32.87
2022-02-05 04:00:00 +0800,32.09,32.84,32.09,32.74
2022-02-05 00:00:00 +0800,31.5,31.56,31.18,31.43
2022-02-04 20:00:00 +0800,31.63,31.75,31.63,31.63
2022-02-04 16:00:00 +0800,31.14,31.59,31.14,31.59
2022-02-04 12:00:00 +0800,31.06,31.08,30.97,31.08
2022-02-04 08:00:00 +0800,30.62,30.98,30.55,30.87
2022-02-04 04:00:00 +0800,30.83,30.83,30.67,30.77
2022-02-04 00:00:00 +0800,30.63,30.63,30.48,30.58
2022-02-03 20:00:00 +0800,30.72,30.72,30.44,30.44
