date,open,high,low,close
2022-02-19 16:00:00 +0800,530.21,531.3,530.21,531.3
2022-02-19 12:00:00 +0800,524.11,530.59,524.11,530.59
2022-02-19 08:00:00 +0800,528.14,528.14,519.29,519.29
2022-02-19 04:00:00 +0800,529.21,529.94,527.4,529.94
2022-02-19 00:00:00 +0800,541.3,545.9,537.74,537.74
2022-02-18 20:00:00 +0800,540.85,549.09,540.85,548.82
2022-02-18 16:00:00 +0800,534.87,540.08,533.64,540.08
2022-02-18 12:00:00 +0800,533.91,535.57,533.26,534.08
2022-02-18 08:00:00 +0800,536.98,537.93,535.87,537.93
2022-02-18 04:00:00 +0800,553.49,553.49,538.72,538.72
2022-02-18 00:00:00 +0800,559.41,559.41,548.41,550.26
2022-02-17 20:00:00 +0800,570.68,570.68,557.16,557.16
2022-02-17 16:00:00 +0800,566.65,570.63,562.66,570.63
2022-02-17 12:00:00 +0800,579.56,582.84,575.78,575.78
2022-02-17 08:00:00 +0800,583.69,585.16,581.46,581.46
2022-02-17 04:00:00 +0800,558.71,566.89,557.33,566.89
2022-02-17 00:00:00 +0800,579.6,579.6,556.41,556.41
2022-02-16 20:00:00 +0800,576.14,578.17,576.14,576.24
2022-02-16 16:00:00 +0800,574.86,574.86,573.79,574.31
2022-02-16 12:00:00 +0800,587.74,587.74,577.15,577.15
2022-02-16 08:00:00 +0800,566.11,580.65,566.11,580.65
2022-02-16 04:00:00 +0800,568.81,568.81,562.98,565.33
2022-02-16 00:00:00 +0800,568.37,569.24,566.42,569.24
2022-02-15 20:00:00 +0800,561.32,571.45,561.32,571.45
2022-02-15 16:00:00 +0800,561.35,561.35,558.05,558.05
2022-02-15 12:00:00 +0800,545.9,564.5,545.9,563.95
2022-02-15 08:00:00 +0800,530.88,544.6,530.88,544.6
2022-02-15 04:00:00 +0800,542.53,547.1,542.53,542.62
2022-02-15 00:00:00 +0800,533.9,546.84,533.9,546.84
2022-02-14 20:00:00 +0800,533.99,533.99,529.94,533.96
2022-02-14 16:00:00 +0800,528.61,531.7,527.64,531.7
2022-02-14 12:00:00 +0800,533.32,533.32,524.05,524.39
2022-02-14 08:00:00 +0800,530.04,537.17,530.04,535.16
2022-02-14 04:00:00 +0800,548.24,548.24,529.49,529.49
2022-02-14 00:00:00 +0800,551.51,553.04,547.76,547.76
2022-02-13 20:00:00 +0800,549.4,553.73,547.84,553.73
2022-02-13 16:00:00 +0800,548.5,549.84,544.34,549.84
2022-02-13 12:00:00 +0800,544.95,551.26,544.95,547.32
2022-02-13 08:00:00 +0800,553.54,553.59,537.81,546.09
2022-02-13 04:00:00 +0800,543.55,556.66,543.55,556.66
2022-02-13 00:00:00 +0800,550.16,550.16,541.11,541.11
2022-02-12 20:00:00 +0800,550.76,554.77,547.67,547.67
2022-02-12 16:00:00 +0800,555.03,555.03,549.29,549.29
